,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
550,3,1919.536298,33,33,34,32,32
551,3,1919.68631,30,33,32,33,33
552,3,1919.836318,33,32,32,32,34
553,3,1919.986298,31,32,32,31,32
554,3,1920.136326,32,32,33,32,35
555,3,1920.286304,31,32,31,31,33
556,3,1920.436324,30,33,32,31,34
557,3,1920.586301,32,31,31,32,32
558,3,1920.736303,31,33,33,33,33
559,3,1920.886302,32,32,31,31,30
560,3,1921.036307,32,31,31,31,31
561,3,1921.186321,29,32,32,35,32
562,3,1921.336306,32,30,32,33,32
563,3,1921.486331,32,29,32,34,31
564,3,1921.636298,31,32,32,33,33
565,3,1921.78629,30,32,32,33,31
566,3,1921.93631,31,32,31,31,31
567,3,1922.086313,30,32,31,31,32
568,3,1922.236308,33,31,32,32,32
569,3,1922.386301,31,32,31,32,32
570,3,1922.536325,32,32,30,32,32
571,3,1922.686326,31,31,31,32,31
572,3,1922.836315,32,32,30,32,32
573,3,1922.986303,31,33,33,32,32
574,3,1923.136311,31,31,33,32,33
575,3,1923.286317,31,31,33,33,34
576,3,1923.436316,32,30,33,32,35
577,3,1923.5863,31,32,34,32,30
578,3,1923.736364,32,30,34,32,33
579,3,1923.886338,30,32,32,32,34
580,3,1924.036315,29,31,33,31,33
581,3,1924.186317,31,31,31,31,32
582,3,1924.336321,33,32,31,32,33
583,3,1924.486314,33,30,32,32,31
584,3,1924.636323,33,34,34,33,32
585,3,1924.786304,33,33,32,32,32
586,3,1924.936309,33,35,32,33,33
587,3,1925.086309,32,31,32,34,32
588,3,1925.236317,32,30,30,31,32
