,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
1029,3296.715341,45.8984375,45.8984375,88.0,83.184656162391,23.0,529.0309456881487,1.127659574468085
1030,3296.883023,45.8984375,45.8984375,85.0,83.33452439171133,23.0,529.0309456881487,1.1303317535545023
1031,3297.035943,45.8984375,45.8984375,84.0,83.42272751366764,23.0,529.0309456881487,1.127659574468085
1032,3297.190434,45.8984375,48.33984375,84.0,83.44311868190748,23.0,529.0309456881487,1.127962085308057
1033,3297.343307,45.8984375,45.8984375,86.0,83.46988331100599,23.0,529.8949250182104,1.1384248210023866
1034,3297.500366,45.8984375,45.8984375,89.0,83.59297650832038,23.0,529.0309456881487,1.1384248210023866
1035,3297.671541,45.8984375,45.8984375,85.0,83.75912829729188,23.0,529.0309456881487,1.125
1036,3297.82945,45.8984375,45.8984375,89.0,83.90801537760042,23.0,529.0309456881487,1.125
1037,3297.982527,45.8984375,45.8984375,86.0,84.02910208976206,23.0,529.0309456881487,1.125
1038,3298.134741,45.8984375,45.8984375,87.0,84.1446617973165,23.0,529.0309456881487,1.125
1039,3298.287915,45.8984375,45.8984375,88.0,84.26901563643443,23.0,529.0309456881487,1.1223529411764706
1040,3298.454074,45.8984375,45.8984375,90.0,84.42758618679899,23.0,529.0309456881487,1.1223529411764706
1041,3298.610841,45.8984375,45.8984375,84.0,84.57583584172362,23.0,529.0309456881487,1.1223529411764706
1042,3298.763433,45.8984375,45.8984375,82.0,84.59459446435517,23.0,529.0309456881487,1.125
1043,3298.916884,45.8984375,45.8984375,88.0,84.54442519061409,23.0,529.0309456881487,1.1303317535545023
1044,3299.069332,45.8984375,45.8984375,86.0,84.57748864247371,23.0,529.0309456881487,1.1303317535545023
1045,3299.23464,45.8984375,45.8984375,88.0,84.71352991366858,23.0,529.0309456881487,1.127659574468085
1046,3299.409644,45.8984375,45.8984375,84.0,84.80531995318628,23.0,529.0309456881487,1.127659574468085
1047,3299.574975,45.8984375,45.8984375,89.0,84.84852496997821,23.0,529.0309456881487,1.1330166270783848
1048,3299.740609,45.8984375,45.8984375,86.0,84.92287253145504,23.0,529.0309456881487,1.1357142857142857
1049,3299.911418,45.8984375,45.8984375,85.0,84.99722852064549,23.0,529.0309456881487,1.1303317535545023
1050,3300.077006,45.8984375,45.8984375,87.0,85.03512744690374,23.0,529.0309456881487,1.1357142857142857
1051,3300.242833,45.8984375,45.8984375,86.0,85.06357151438864,23.0,529.0309456881487,1.1330166270783848
1052,3300.413967,45.8984375,45.8984375,83.0,85.08186187501524,23.0,529.0309456881487,1.1303317535545023
1053,3300.571389,45.8984375,45.8984375,88.0,85.08972782600512,23.0,529.0309456881487,1.132701421800948
1054,3300.724142,45.8984375,48.33984375,87.0,85.13147336037959,23.0,529.0309456881487,1.1223529411764706
1055,3300.884295,45.8984375,45.8984375,87.0,85.23018586373296,23.0,529.8949250182104,1.1223529411764706
1056,3301.038213,45.8984375,45.8984375,87.0,85.3225666180564,23.0,529.0309456881487,1.119718309859155
1057,3301.191157,45.8984375,45.8984375,85.0,85.3552769178662,23.0,529.0309456881487,1.125
1058,3301.344143,45.8984375,45.8984375,85.0,85.35090263389696,23.0,529.0309456881487,1.1223529411764706
1059,3301.509948,45.8984375,45.8984375,86.0,85.34275306205593,23.0,529.0309456881487,1.119718309859155
1060,3301.664739,45.8984375,45.8984375,84.0,85.33271281982198,23.0,529.0309456881487,1.1223529411764706
1061,3301.817193,45.8984375,45.8984375,86.0,85.32644685445577,23.0,529.0309456881487,1.1223529411764706
1062,3301.970331,45.8984375,45.8984375,90.0,85.37789690642457,23.0,529.0309456881487,1.1223529411764706
1063,3302.123304,45.8984375,45.8984375,89.0,85.52193577175989,23.0,529.0309456881487,1.119718309859155
1064,3302.288618,45.8984375,45.8984375,86.0,85.66741333166065,23.0,529.0309456881487,1.1223529411764706
1065,3302.445917,45.8984375,45.8984375,87.0,85.722090237813,23.0,529.0309456881487,1.1223529411764706
1066,3302.598112,45.8984375,45.8984375,87.0,85.73335556946164,23.0,529.0309456881487,1.1144859813084111
1067,3302.750992,45.8984375,48.33984375,84.0,85.74572750186094,23.0,529.0309456881487,1.117096018735363
1068,3302.905412,45.8984375,45.8984375,85.0,85.7263059044602,23.0,529.8949250182104,1.1223529411764706
1069,3303.070722,45.8984375,45.8984375,86.0,85.68396586396989,23.0,529.0309456881487,1.117096018735363
1070,3303.227606,45.8984375,45.8984375,82.0,85.63368927141978,23.0,529.0309456881487,1.125
1071,3303.38979,45.8984375,45.8984375,86.0,85.58149638071367,23.0,529.0309456881487,1.1223529411764706
1072,3303.543212,45.8984375,45.8984375,82.0,85.50408065202903,23.0,529.0309456881487,1.119718309859155
1073,3303.695867,45.8984375,45.8984375,87.0,85.45408689427195,23.0,529.0309456881487,1.119718309859155
1074,3303.854098,45.8984375,45.8984375,87.0,85.4766174767117,23.0,529.0309456881487,1.1223529411764706
1075,3304.026947,45.8984375,45.8984375,87.0,85.54862173481328,23.0,529.0309456881487,1.1223529411764706
1076,3304.183117,45.8984375,45.8984375,85.0,85.60211330103971,23.0,529.0309456881487,1.125
1077,3304.336533,45.8984375,45.8984375,84.0,85.57685161012539,23.0,529.0309456881487,1.125
1078,3304.509387,45.8984375,45.8984375,85.0,85.5149871415505,23.0,529.0309456881487,1.125
1079,3304.663912,45.8984375,45.8984375,83.0,85.45476638960248,23.0,529.0309456881487,1.119718309859155
1080,3304.843872,45.8984375,45.8984375,87.0,85.42555760964409,23.0,529.0309456881487,1.125
1081,3304.997414,45.8984375,45.8984375,90.0,85.48738358764508,23.0,529.0309456881487,1.125
1082,3305.149309,45.8984375,45.8984375,84.0,85.58851783188041,23.0,529.0309456881487,1.119718309859155
1083,3305.302403,45.8984375,45.8984375,85.0,85.61560715128702,23.0,529.0309456881487,1.119718309859155
1084,3305.456118,45.8984375,45.8984375,87.0,85.57680808114694,23.0,529.0309456881487,1.1223529411764706
1085,3305.621927,45.8984375,45.8984375,90.0,85.62651927780045,23.0,529.0309456881487,1.125
1086,3305.778209,45.8984375,45.8984375,85.0,85.75016071096654,23.0,529.0309456881487,1.125
1087,3305.932043,45.8984375,45.8984375,87.0,85.81221226135544,23.0,529.0309456881487,1.125
1088,3306.084914,45.8984375,45.8984375,86.0,85.80366367086874,23.0,529.0309456881487,1.125
1089,3306.237843,45.8984375,45.8984375,89.0,85.83918103627497,23.0,529.0309456881487,1.125
1090,3306.416685,45.8984375,45.8984375,85.0,85.91089380703808,23.0,529.0309456881487,1.125
1091,3306.573142,45.8984375,45.8984375,85.0,85.92197429472441,23.0,529.0309456881487,1.125
1092,3306.727053,45.8984375,45.8984375,85.0,85.86780889415618,23.0,529.0309456881487,1.1223529411764706
1093,3306.887237,45.8984375,45.8984375,90.0,85.87189478503946,23.0,529.0309456881487,1.119718309859155
1094,3307.040642,45.8984375,45.8984375,89.0,85.9949285750464,23.0,529.0309456881487,1.119718309859155
1095,3307.216511,45.8984375,45.8984375,90.0,86.16877508656287,23.0,529.0309456881487,1.1223529411764706
1096,3307.400661,45.8984375,45.8984375,89.0,86.3109703451137,23.0,529.0309456881487,1.1223529411764706
1097,3307.566144,45.8984375,45.8984375,85.0,86.37103044839972,23.0,529.0309456881487,1.125
1098,3307.731034,45.8984375,45.8984375,88.0,86.37857466347855,23.0,529.0309456881487,1.125
1099,3307.906197,45.8984375,45.8984375,90.0,86.42176703644736,23.0,529.0309456881487,1.125
1100,3308.071484,45.8984375,45.8984375,88.0,86.53144983230125,23.0,529.0309456881487,1.127659574468085
1101,3308.28045,28.80859375,45.8984375,89.0,86.64847953633684,8.673987991398105,226.1904658564942,1.119718309859155
1102,3308.454835,28.80859375,45.8984375,86.0,86.69305515089914,3.224857568560508,83.22070027652236,1.127659574468085
1103,3308.614138,28.80859375,41.015625,85.0,86.66542147494904,2.0000000000000115,63.95647289508073,1.1744471744471745
1104,3308.779891,28.80859375,41.015625,85.0,86.598495739997,2.0000000000000115,32.67676680579599,1.1573849878934626
1105,3308.949962,28.80859375,38.57421875,78.0,86.44143646796108,2.0000000000000115,32.67676680579599,1.2131979695431472
1106,3309.10648,28.80859375,36.1328125,77.0,86.14540315401986,2.0000000000000115,21.520452497728662,1.248041775456919
1107,3309.258911,28.80859375,28.80859375,75.0,85.72849134845484,2.0000000000000115,13.103118003501422,1.2513089005235603
1108,3309.411318,28.80859375,28.80859375,76.0,85.29409203812983,2.0000000000000115,4.284993403859662,1.231958762886598
1109,3309.563934,28.80859375,28.80859375,83.0,84.99239382171501,2.0000000000000115,4.284993403859662,1.2351421188630491
1110,3309.729932,28.80859375,28.80859375,81.0,84.84145949773949,2.0000000000000115,4.284993403859662,1.2225063938618925
